,turns,winner
2856,79,White
2857,77,White
2858,31,White
2862,135,White
2866,37,White
2867,87,White
2868,123,White
2869,89,White
2871,71,White
2875,43,White
2877,51,White
2879,95,White
2882,91,White
2884,13,White
2886,67,White
2887,29,White
2888,97,White
2889,69,White
2894,73,White
2896,115,White
2897,67,White
2898,62,White
2900,57,White
2904,99,White
2908,33,White
2909,101,White
2915,7,White
2917,43,White
2918,43,White
2919,17,White
2920,113,White
2923,23,White
2924,39,White
2925,63,White
2926,3,White
2928,69,White
2929,117,White
2932,81,White
2933,61,White
2937,95,White
2939,47,White
2941,31,White
2942,61,White
2943,93,White
2947,33,White
2948,107,White
2949,9,White
2951,105,White
2953,115,White
2954,123,White
2956,29,White
2957,105,White
2958,41,White
2960,105,White
2961,35,White
2962,43,White
2963,97,White
2965,57,White
2967,35,White
2970,31,White
2973,19,White
2974,41,White
2980,35,White
2981,31,White
2983,45,White
2986,27,White
2987,39,White
2988,19,White
2990,31,White
2995,29,White
2996,55,White
2998,81,White
3001,35,White
3008,53,White
3009,41,White
3010,25,White
3013,79,White
3014,52,White
3017,71,White
3019,37,White
3020,28,White
3022,51,White
3025,53,White
3026,19,White
3028,21,White
3031,65,White
3032,37,White
3033,27,White
3034,9,White
3035,59,White
3038,79,White
3042,39,White
3043,53,White
3045,61,White
3050,19,White
3051,83,White
3052,69,White
3053,39,White
3057,91,White
3060,89,White
3061,43,White
3063,43,White
3064,66,White
3066,51,White
3067,67,White
3071,65,White
3072,96,White
3074,81,White
3075,65,White
3076,21,White
3077,35,White
3080,75,White
3082,21,White
3087,40,White
3092,76,White
3093,89,White
3094,61,White
3096,59,White
3097,89,White
3098,103,White
3100,19,White
3101,53,White
3102,71,White
3105,69,White
3108,75,White
3109,59,White
3113,93,White
3115,52,White
3116,121,White
3118,7,White
3119,101,White
3124,81,White
3125,33,White
3128,93,White
3129,73,White
3130,67,White
3133,65,White
3135,87,White
3137,17,White
3139,79,White
3141,63,White
3142,133,White
3143,49,White
3146,52,White
3150,57,White
3151,73,White
3152,45,White
3154,75,White
3155,33,White
3156,42,White
3157,91,White
3159,105,White
3161,67,White
3163,53,White
3165,53,White
3166,55,White
3169,43,White
3170,73,White
3172,93,White
3173,41,White
3174,45,White
3178,69,White
3179,19,White
3182,27,White
3184,59,White
3186,39,White
3189,39,White
3191,70,White
3192,61,White
3193,53,White
3197,33,White
3200,23,White
3203,77,White
3204,87,White
3207,71,White
3209,23,White
3210,40,White
3211,49,White
3215,35,White
3217,35,White
3218,77,White
3219,59,White
3223,71,White
3224,55,White
3227,50,White
3230,57,White
3231,51,White
3237,63,White
3241,55,White
3242,35,White
3243,59,White
3244,6,White
3246,49,White
3248,29,White
3250,25,White
3251,59,White
3252,55,White
3253,15,White
3254,75,White
3255,5,White
3257,35,White
3258,39,White
3260,63,White
3261,51,White
3263,35,White
3268,79,White
3274,59,White
3276,41,White
3289,25,White
3290,73,White
3291,25,White
3292,21,White
3297,45,White
3301,71,White
3302,45,White
3306,23,White
3308,16,White
3310,67,White
3311,105,White
3312,39,White
3313,29,White
3314,51,White
3316,23,White
3317,111,White
3318,51,White
3321,83,White
3331,35,White
3332,99,White
3333,47,White
3335,99,White
3336,101,White
3338,87,White
3340,121,White
3341,131,White
3342,79,White
3343,35,White
3344,30,White
3346,65,White
3349,41,White
3350,82,White
3351,55,White
3352,71,White
3354,113,White
3355,43,White
3357,97,White
3359,26,White
3362,32,White
3363,59,White
3364,29,White
3366,35,White
3367,69,White
3368,41,White
3369,127,White
3372,19,White
3373,83,White
3374,65,White
3376,97,White
3378,51,White
3379,53,White
3383,33,White
3385,65,White
3386,25,White
3387,67,White
3389,62,White
3391,63,White
3393,100,White
3396,81,White
3397,87,White
3398,56,White
3400,60,White
3401,119,White
3406,65,White
3407,27,White
3410,79,White
3413,105,White
3414,5,White
3418,53,White
3419,55,White
3424,15,White
3425,33,White
3426,119,White
3429,45,White
3431,31,White
3432,51,White
3433,29,White
3434,11,White
3435,77,White
3439,41,White
3441,18,White
3444,7,White
3446,53,White
3447,79,White
3449,47,White
3450,41,White
3451,21,White
3452,87,White
3453,57,White
3456,73,White
3457,27,White
3460,113,White
3461,46,White
3462,16,White
3463,73,White
3465,51,White
3467,95,White
3468,18,White
3470,9,White
3472,59,White
3473,85,White
3475,15,White
3479,81,White
3482,49,White
3484,65,White
3488,19,White
3489,105,White
3495,15,White
3497,15,White
3498,57,White
3503,27,White
3504,95,White
3513,31,White
3515,35,White
3517,23,White
