,turns,winner
1309,35,White
1310,87,White
1311,64,Black
1312,36,Black
1313,29,White
1314,93,White
1315,57,White
1316,53,White
1317,42,Black
1318,51,White
1319,77,White
1320,21,White
1321,43,White
1322,81,White
1323,94,Black
1324,92,Black
1325,29,White
1326,78,Black
1328,59,White
1329,11,White
1330,66,Black
1331,58,Black
1332,41,White
1333,49,White
1334,45,White
1335,110,Black
1337,17,White
1338,98,Black
1339,68,Black
1340,52,Black
1341,29,White
1342,39,White
1343,7,White
1344,32,Black
1345,97,White
1346,14,White
1347,26,White
1348,38,Black
1349,11,White
1350,84,White
1351,9,White
1352,9,White
1353,33,White
1354,56,Black
1355,17,White
1356,73,White
1357,35,White
1358,30,Black
1359,27,White
1360,77,White
1361,31,White
1362,30,Black
1363,87,White
1364,43,White
1365,60,Black
1366,36,Black
1367,77,White
1368,56,Black
1369,44,Black
1370,31,White
1371,54,Black
1372,40,Black
1373,18,White
1374,137,White
1375,38,Black
1376,73,White
1378,124,Black
1379,76,Black
1380,50,Black
1381,48,Black
1382,76,Black
1383,55,White
1384,67,White
1386,98,Black
1387,48,Black
1388,86,Black
1389,47,White
1390,104,Black
1394,73,White
1395,26,Black
1396,79,White
1397,71,White
1398,102,Black
1399,75,White
1401,23,White
1402,34,Black
1403,78,Black
1404,69,Black
1405,74,Black
1406,56,Black
1407,78,Black
1408,74,Black
1409,27,White
1410,60,Black
1411,79,White
1412,49,White
1413,40,White
1414,56,Black
1415,41,White
1416,51,White
1417,60,Black
1418,113,White
1420,50,Black
1421,114,Black
1422,42,Black
1423,54,Black
1424,108,White
1425,55,White
1426,79,White
1427,44,Black
1428,66,Black
1429,51,White
1430,53,White
1431,53,White
1432,60,Black
1433,17,Black
1434,124,White
1435,125,White
1436,39,White
1437,42,Black
1438,38,Black
1439,30,White
1440,4,White
1441,50,Black
1442,53,White
1443,59,White
1446,88,Black
1447,39,White
1449,29,Black
1450,68,Black
1451,62,Black
1452,58,Black
1453,115,White
1454,52,White
1455,57,White
1456,105,White
1457,56,Black
1458,53,White
1459,91,White
1460,39,White
1461,64,Black
1462,50,White
1463,27,Black
1464,56,Black
1465,39,White
1466,62,Black
1467,58,Black
1468,45,White
1469,48,Black
1470,48,White
1471,26,Black
1472,32,Black
1473,41,White
1474,23,White
1475,48,Black
1476,67,White
1477,32,Black
1478,7,Black
1479,24,Black
1480,23,White
1481,20,Black
1482,122,Black
1483,57,White
1484,19,White
1485,98,Black
1486,35,White
1487,41,White
1488,75,White
1489,122,Black
1490,8,Black
1491,90,Black
1492,46,Black
1493,29,Black
1494,51,White
1496,94,Black
1497,129,White
1498,129,White
1499,38,Black
1500,68,Black
1501,56,Black
1502,88,Black
1503,86,Black
1505,57,White
1506,13,White
1507,82,Black
1508,63,White
1509,40,Black
1510,42,White
1511,50,White
1512,25,White
1513,88,Black
1514,62,Black
1515,48,Black
1516,30,Black
1517,110,Black
1518,60,Black
1519,39,White
1520,63,White
1521,40,Black
1522,15,White
1523,47,White
1524,44,White
1525,86,Black
1526,73,White
1527,80,Black
1529,41,White
1530,94,Black
1531,63,White
1532,80,Black
1534,116,Black
1535,130,Black
1536,73,White
1537,93,White
1538,94,Black
1539,33,White
1540,47,White
1541,23,White
1542,84,White
1543,6,White
1544,88,Black
1545,35,White
1546,78,Black
1547,61,White
1549,78,Black
1550,31,White
1551,49,White
1552,82,Black
1553,115,White
1554,59,White
1555,82,Black
1556,22,Black
1557,49,White
1558,45,White
1559,10,Black
1560,88,Black
1561,33,White
1562,69,White
1563,84,Black
1564,70,Black
1565,74,White
1567,62,Black
1568,39,White
1569,91,White
1570,53,White
1571,35,White
1572,52,Black
1573,66,Black
1574,111,White
1575,27,White
1576,19,Black
1577,27,Black
1578,25,White
1579,102,Black
1580,60,Black
1581,62,Black
1583,61,White
1584,63,White
1585,50,Black
1586,26,Black
1587,33,White
1588,17,White
1589,32,Black
1590,92,Black
1591,47,White
1592,25,White
1593,71,White
1594,57,White
1596,17,White
1597,51,White
1598,24,Black
1599,39,White
1600,49,White
1601,40,Black
1602,95,White
1603,45,White
1604,64,Black
1605,51,White
1606,43,White
1607,29,White
1608,23,Black
1609,53,White
1610,25,White
1611,78,Black
1612,52,Black
1613,83,White
1615,101,White
1616,37,White
1617,106,Black
1618,56,Black
1619,124,Black
1620,32,Black
1621,67,White
1622,42,Black
1623,78,Black
1624,100,Black
1625,64,White
1626,53,White
1627,71,White
1628,41,White
1629,77,White
1630,7,White
1631,7,White
1632,4,Black
1633,18,Black
1634,23,White
1635,12,Black
1636,60,Black
1637,54,Black
1638,28,Black
1639,32,White
1640,65,White
1641,33,Black
1642,104,Black
1644,73,White
1645,106,Black
1646,40,Black
1647,45,White
1648,117,White
1649,123,White
1650,45,White
1651,89,White
1652,73,White
1653,105,White
1654,8,Black
1655,61,White
1656,101,White
1657,96,Black
1658,79,White
1659,16,Black
1660,13,White
1661,21,White
1663,46,Black
1664,110,Black
1665,105,White
1666,66,Black
1667,47,White
1668,11,White
1669,62,Black
1670,13,White
1671,132,Black
1672,112,Black
1673,20,Black
1674,128,Black
1675,33,White
1677,30,White
1678,107,White
1679,48,Black
1680,6,Black
1681,19,White
1682,53,White
1683,63,Black
1684,42,Black
1688,39,White
1689,105,White
1690,80,Black
1691,39,White
1692,90,Black
1693,41,Black
1694,69,Black
1695,21,Black
1696,103,White
1697,79,White
1698,31,White
1699,25,White
1700,31,White
1701,140,Black
1703,87,White
1704,41,White
1705,80,Black
1706,90,Black
1707,47,Black
1708,97,White
1709,101,White
1710,108,Black
1711,132,Black
1712,94,Black
1713,43,White
1714,61,White
1715,41,White
1716,64,Black
1717,61,White
1718,58,Black
1719,33,White
1720,54,Black
1721,60,Black
1723,57,Black
1724,127,White
1725,103,White
1726,71,White
1727,61,White
1728,60,Black
1729,73,White
1730,80,Black
1731,108,Black
1732,72,White
1733,100,Black
1735,98,Black
1736,35,White
1737,29,White
1738,41,White
1739,95,White
1740,79,White
1741,46,Black
1742,81,Black
1743,69,Black
1744,76,Black
1745,108,Black
1746,75,White
1747,87,White
1748,111,White
1749,40,White
1750,60,Black
1751,109,White
1752,31,White
1753,60,Black
1754,52,Black
1755,87,Black
1756,26,Black
1757,63,White
1759,80,Black
1760,71,White
1762,123,White
1763,99,White
1764,114,Black
1765,57,White
1766,29,White
1767,45,White
1768,9,White
1769,102,Black
1770,114,Black
1771,67,White
1772,128,Black
1773,12,Black
1774,52,Black
1776,22,Black
1777,41,White
1778,50,Black
1779,60,Black
1780,93,White
1781,92,Black
1782,56,Black
1783,122,Black
1784,111,White
1785,68,Black
1786,42,Black
1787,26,Black
1788,77,White
1789,45,White
1791,52,Black
1792,98,Black
1793,89,White
1794,59,White
1795,113,White
1796,62,Black
1797,58,Black
1798,12,Black
1799,84,Black
1800,33,White
1801,63,White
1802,41,White
1803,69,White
1804,92,Black
1805,20,Black
1806,16,Black
1807,81,White
1808,31,White
1809,45,White
1810,19,White
1811,19,White
1813,124,Black
1814,2,Black
1815,13,White
1816,12,White
1817,25,White
1818,46,Black
1819,26,White
1820,24,Black
1821,49,White
1822,40,Black
1823,29,White
1824,137,White
1826,60,White
1827,44,Black
1828,34,Black
1829,40,Black
1830,113,White
1832,90,Black
1833,37,White
1834,44,Black
1835,34,Black
1836,34,Black
1838,45,Black
1839,31,White
1840,102,Black
1841,32,Black
1842,79,White
1843,29,White
1844,75,White
1845,66,Black
1846,39,White
1847,44,Black
1848,38,Black
1849,48,Black
1850,83,White
1851,45,White
1854,82,Black
1855,100,Black
1857,85,White
1858,54,Black
1859,80,Black
1861,100,Black
1862,51,White
1863,69,White
1864,106,Black
1865,58,Black
1866,63,White
1867,48,Black
1868,64,Black
1869,57,White
1870,24,White
1872,54,Black
1873,66,Black
1874,77,White
1876,32,Black
1877,39,Black
1878,79,White
1879,84,Black
1880,71,White
1882,38,White
1883,66,Black
1884,59,Black
1885,43,White
1886,91,White
1887,63,White
1888,77,White
1889,13,White
1890,62,Black
1891,23,White
1892,17,White
1893,44,Black
1894,33,White
1895,30,Black
1896,46,Black
1897,42,Black
1898,90,Black
1899,65,White
1900,76,Black
1901,69,White
1902,48,Black
1903,66,Black
1904,72,Black
1905,62,Black
1906,69,White
1907,70,Black
1908,56,Black
1910,111,White
1912,108,Black
1913,73,White
1914,66,Black
1915,77,White
1916,59,White
1917,97,Black
1918,62,Black
1919,76,Black
1920,67,White
1921,3,White
1922,77,White
1923,70,Black
1924,39,Black
1925,63,White
1926,47,White
1927,29,White
1928,41,White
1929,48,Black
1930,38,Black
1931,46,Black
1932,67,White
1933,48,Black
1934,12,Black
1935,10,Black
1936,30,Black
1937,48,Black
1938,18,Black
1939,13,White
1940,62,Black
1941,38,Black
1942,27,White
1943,49,White
1944,36,Black
1945,36,Black
1947,49,White
1948,37,White
1949,95,White
1950,17,White
1951,23,White
1952,118,Black
1953,12,Black
1954,41,White
1955,16,Black
1956,2,Black
1957,35,White
1958,9,White
1959,81,White
1960,55,White
1961,2,Black
1962,2,Black
1963,8,Black
1964,62,Black
1965,4,Black
1966,2,Black
1967,2,White
1968,2,Black
1969,5,White
1970,15,White
1971,26,Black
1972,38,Black
1973,69,White
1974,44,Black
1975,37,White
1976,64,Black
1978,2,White
1979,26,Black
1980,12,White
1981,14,Black
1982,73,White
1983,3,White
1984,6,Black
1986,3,Black
1987,52,Black
1988,68,Black
1989,61,White
1990,19,White
1991,36,Black
1992,34,White
1993,46,Black
1994,110,Black
1995,138,Black
1996,68,Black
1997,125,White
1998,84,Black
1999,31,White
2000,119,White
2001,32,Black
2002,90,Black
2003,54,White
2004,64,Black
2005,73,White
2007,13,White
2008,14,Black
2009,72,Black
2010,52,Black
2011,114,Black
2012,21,Black
2013,49,Black
2014,81,White
2015,9,White
2016,61,Black
2017,31,Black
2018,39,White
2019,60,White
2020,52,Black
2021,35,White
2022,24,Black
2023,19,White
2024,34,Black
2025,13,White
2026,30,Black
2027,94,Black
2028,6,Black
2029,64,Black
2030,15,White
2031,15,White
2032,58,Black
2033,66,Black
2034,19,Black
2035,39,White
2036,37,Black
2037,29,White
2038,22,Black
2039,50,Black
2040,56,Black
2041,30,Black
2042,34,Black
2043,58,Black
2044,76,Black
2046,36,Black
2047,33,White
2048,44,Black
2049,50,Black
2050,14,Black
2051,59,White
2052,68,Black
2053,35,White
2054,65,White
2055,59,White
2057,45,Black
2058,56,Black
2059,25,Black
2060,86,Black
2061,68,Black
2062,100,Black
2063,57,White
2064,21,White
2065,54,Black
2067,113,White
2068,46,Black
2069,66,Black
2070,75,White
2071,51,White
2072,84,Black
2073,47,White
2074,60,Black
2075,89,White
2076,104,Black
2077,51,White
2078,44,Black
2079,107,White
2080,49,White
2081,100,Black
2082,110,Black
2084,30,Black
2085,59,White
2086,43,White
2087,85,White
2088,60,White
2089,44,Black
2090,80,Black
2091,40,White
2092,102,Black
2093,34,Black
2094,72,Black
2095,41,White
2096,84,Black
2097,36,Black
2099,27,White
2100,39,White
2101,57,White
2103,68,Black
2104,68,Black
2105,56,Black
2106,96,Black
2107,97,White
2108,36,Black
2109,75,Black
2110,56,Black
2111,39,White
2112,39,White
2113,19,White
2115,23,White
