,turns,winner
1912,108,Black
1914,66,Black
1917,97,Black
1918,62,Black
1919,76,Black
1923,70,Black
1924,39,Black
1929,48,Black
1930,38,Black
1931,46,Black
1933,48,Black
1934,12,Black
1935,10,Black
1936,30,Black
1937,48,Black
1938,18,Black
1940,62,Black
1941,38,Black
1944,36,Black
1945,36,Black
1952,118,Black
1953,12,Black
1955,16,Black
1956,2,Black
1961,2,Black
1962,2,Black
1963,8,Black
1964,62,Black
1965,4,Black
1966,2,Black
1968,2,Black
1971,26,Black
1972,38,Black
1974,44,Black
1976,64,Black
1979,26,Black
1981,14,Black
1984,6,Black
1986,3,Black
1987,52,Black
1988,68,Black
1991,36,Black
1993,46,Black
1994,110,Black
1995,138,Black
1996,68,Black
1998,84,Black
2001,32,Black
2002,90,Black
2004,64,Black
2008,14,Black
2009,72,Black
2010,52,Black
2011,114,Black
2012,21,Black
2013,49,Black
2016,61,Black
2017,31,Black
2020,52,Black
2022,24,Black
2024,34,Black
2026,30,Black
2027,94,Black
2028,6,Black
2029,64,Black
2032,58,Black
2033,66,Black
2034,19,Black
2036,37,Black
2038,22,Black
2039,50,Black
2040,56,Black
2041,30,Black
2042,34,Black
2043,58,Black
2044,76,Black
2046,36,Black
2048,44,Black
2049,50,Black
2050,14,Black
2052,68,Black
2057,45,Black
2058,56,Black
2059,25,Black
2060,86,Black
2061,68,Black
2062,100,Black
2065,54,Black
2068,46,Black
2069,66,Black
2072,84,Black
2074,60,Black
2076,104,Black
2078,44,Black
2081,100,Black
2082,110,Black
2084,30,Black
2089,44,Black
2090,80,Black
2092,102,Black
2093,34,Black
2094,72,Black
2096,84,Black
2097,36,Black
2103,68,Black
2104,68,Black
2105,56,Black
2106,96,Black
2108,36,Black
2109,75,Black
2110,56,Black
2117,34,Black
2120,54,Black
2122,18,Black
2125,40,Black
2126,38,Black
2127,88,Black
2128,62,Black
2129,37,Black
2130,62,Black
2133,88,Black
2135,45,Black
2139,84,Black
2141,70,Black
2142,52,Black
2143,50,Black
2145,52,Black
2147,54,Black
2148,64,Black
2149,43,Black
2153,92,Black
2154,36,Black
2158,40,Black
2162,60,Black
2163,34,Black
2164,73,Black
2166,20,Black
2167,64,Black
2170,50,Black
2171,44,Black
2172,37,Black
2175,94,Black
2178,50,Black
2179,30,Black
2182,48,Black
2183,21,Black
2188,40,Black
2189,57,Black
2194,18,Black
2196,86,Black
2199,42,Black
2201,54,Black
2204,28,Black
2210,52,Black
2211,19,Black
2212,92,Black
2213,36,Black
2215,14,Black
2217,46,Black
2220,37,Black
2222,52,Black
2224,50,Black
2225,54,Black
2229,68,Black
2231,48,Black
2234,58,Black
2236,70,Black
2238,46,Black
2240,38,Black
2241,64,Black
2243,71,Black
2245,74,Black
2247,133,Black
2251,122,Black
2253,48,Black
2259,48,Black
2261,84,Black
2262,42,Black
2264,64,Black
2266,50,Black
2269,66,Black
2270,34,Black
2276,108,Black
2280,70,Black
2284,78,Black
2289,104,Black
2291,110,Black
2294,122,Black
2303,58,Black
2304,46,Black
2305,84,Black
2306,56,Black
2309,62,Black
2314,78,Black
2316,46,Black
2317,120,Black
2318,46,Black
2320,52,Black
2321,70,Black
2323,48,Black
2325,25,Black
2329,130,Black
2333,36,Black
2337,72,Black
2339,60,Black
2343,34,Black
2346,6,Black
2351,28,Black
2354,30,Black
2355,100,Black
2362,112,Black
2364,38,Black
2371,50,Black
2373,92,Black
2374,70,Black
2375,86,Black
2376,54,Black
2378,42,Black
2381,70,Black
2382,136,Black
2383,40,Black
2385,58,Black
2386,52,Black
2387,74,Black
2393,68,Black
2394,56,Black
2396,14,Black
2397,68,Black
2398,24,Black
2400,18,Black
2402,41,Black
2403,16,Black
2406,48,Black
2408,54,Black
2415,60,Black
2418,58,Black
2419,74,Black
2421,42,Black
2422,55,Black
2429,50,Black
2430,50,Black
2431,52,Black
2432,28,Black
2433,8,Black
2434,22,Black
2435,84,Black
2437,68,Black
2438,82,Black
2439,8,Black
2442,34,Black
2443,60,Black
2446,40,Black
2447,110,Black
2450,70,Black
2457,30,Black
2460,128,Black
2461,40,Black
2466,58,Black
2468,14,Black
2471,46,Black
2477,22,Black
2478,46,Black
2481,25,Black
2485,38,Black
2487,98,Black
2494,74,Black
2496,12,Black
2497,52,Black
2499,66,Black
2500,42,Black
2502,27,Black
2505,54,Black
2507,28,Black
2509,26,Black
2511,50,Black
2513,128,Black
2518,76,Black
2519,41,Black
2520,56,Black
2521,82,Black
2524,38,Black
2525,69,Black
2526,48,Black
2527,80,Black
2535,46,Black
2539,78,Black
2541,78,Black
2542,56,Black
2543,134,Black
2546,50,Black
2552,56,Black
2554,78,Black
2557,108,Black
2558,56,Black
2560,70,Black
2561,16,Black
2562,60,Black
2564,72,Black
2565,120,Black
2566,24,Black
2567,54,Black
2569,80,Black
2571,50,Black
2575,52,Black
2576,82,Black
2578,60,Black
2579,50,Black
2581,76,Black
2582,46,Black
2585,20,Black
2596,80,Black
2598,64,Black
2601,81,Black
2603,52,Black
2605,90,Black
2608,72,Black
2610,36,Black
2614,15,Black
2617,42,Black
2620,96,Black
2627,36,Black
2628,42,Black
2634,74,Black
2635,58,Black
2636,76,Black
2637,60,Black
2638,30,Black
2639,20,Black
2641,76,Black
2642,48,Black
2643,64,Black
2644,62,Black
2647,40,Black
2648,68,Black
2649,38,Black
2658,32,Black
2662,52,Black
2665,48,Black
2673,56,Black
2676,20,Black
2678,12,Black
2679,22,Black
2682,18,Black
2684,60,Black
2685,62,Black
2687,52,Black
2692,94,Black
2694,54,Black
2697,44,Black
2700,26,Black
2702,14,Black
2705,6,Black
2707,3,Black
2709,70,Black
2712,42,Black
2713,11,Black
2714,20,Black
2717,112,Black
2721,92,Black
2724,52,Black
2725,16,Black
2728,34,Black
2731,58,Black
2732,27,Black
2733,42,Black
2736,44,Black
2738,47,Black
